1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
-0.013,0.003,0.067,-0.003,-0.029,-0.01,-0.003,-0.035,-0.003,-0.003,-0.013,0.003,0.067,-0.003,-0.029,-0.01,-0.003,-0.035,-0.003,-0.003,-0.003,-0.029,0.013,-0.042,0.0,0.013,0.003,0.042,0.006,-0.016,-0.042,0.0,0.003,0.003,0.013,0.006,0.016,0.01,0.0,0.0,0.0,0.003,-0.006,0.003,-0.003,0.0,0.006,0.0,0.01,0.013
-0.003,0.01,0.026,-0.01,-0.019,-0.016,0.003,-0.016,-0.006,-0.026,-0.003,0.01,0.026,-0.01,-0.019,-0.016,0.003,-0.016,-0.006,-0.026,0.01,-0.019,-0.013,-0.029,-0.026,0.0,0.003,0.061,0.01,-0.048,-0.016,-0.01,0.01,0.003,0.026,0.022,0.038,0.035,-0.003,0.003,-0.006,0.003,0.003,0.0,0.0,-0.003,0.022,-0.003,0.006,0.0
-0.006,0.01,-0.01,-0.006,-0.006,-0.019,-0.016,0.003,-0.013,-0.022,-0.006,0.01,-0.01,-0.006,-0.006,-0.019,-0.016,0.003,-0.013,-0.022,-0.013,0.003,-0.032,-0.019,-0.038,0.01,0.019,0.07,0.0,-0.051,-0.016,0.003,0.01,0.01,0.045,0.042,0.051,0.038,0.0,-0.003,-0.003,0.0,0.01,0.01,-0.003,0.0,0.019,0.013,0.006,0.0
0.003,0.0,-0.003,0.022,-0.01,-0.022,0.0,0.003,-0.019,0.013,0.003,0.0,-0.003,0.022,-0.01,-0.022,0.0,0.003,-0.019,0.013,0.01,0.038,-0.045,-0.013,-0.016,0.042,0.048,0.051,0.003,-0.045,-0.013,0.01,0.029,0.026,0.042,0.048,0.042,0.026,0.01,0.003,0.0,0.003,0.006,0.006,-0.003,0.003,0.006,0.006,-0.003,-0.006
-0.016,-0.01,-0.016,0.019,-0.003,-0.016,0.0,-0.003,-0.019,0.026,-0.016,-0.01,-0.016,0.019,-0.003,-0.016,0.0,-0.003,-0.019,0.026,0.022,0.051,-0.045,-0.006,0.035,0.077,0.054,0.038,0.026,-0.032,-0.016,0.016,0.051,0.051,0.045,0.042,0.038,0.042,0.01,0.0,0.003,0.003,-0.006,0.016,-0.003,0.0,0.003,0.003,0.01,-0.01
-0.022,-0.029,-0.003,-0.003,0.006,-0.022,-0.01,0.016,-0.013,-0.013,-0.022,-0.029,-0.003,-0.003,0.006,-0.022,-0.01,0.016,-0.013,-0.013,0.022,0.086,-0.038,0.003,0.029,0.061,0.042,0.026,0.061,-0.016,-0.003,0.035,0.045,0.067,0.048,0.029,0.022,0.038,-0.003,0.0,0.003,0.003,-0.016,0.003,-0.003,0.003,-0.003,0.003,0.006,-0.006
-0.032,-0.003,-0.026,-0.019,0.01,-0.003,-0.003,0.006,-0.01,-0.016,-0.032,-0.003,-0.026,-0.019,0.01,-0.003,-0.003,0.006,-0.01,-0.016,0.038,0.077,-0.035,0.0,-0.026,0.048,0.045,0.003,0.089,-0.01,0.003,0.038,0.038,0.057,0.032,0.022,0.016,0.026,0.0,-0.003,0.01,0.0,-0.01,0.003,-0.003,0.01,-0.003,0.0,0.0,0.003
-0.003,-0.01,-0.022,-0.026,0.003,0.003,-0.019,0.006,0.013,-0.022,-0.003,-0.01,-0.022,-0.026,0.003,0.003,-0.019,0.006,0.013,-0.022,0.038,0.099,-0.038,0.003,-0.003,0.032,0.026,-0.022,0.048,-0.013,0.003,0.061,0.038,0.054,0.016,0.006,0.003,0.0,-0.01,0.01,0.01,-0.003,0.0,-0.01,-0.013,0.01,-0.006,0.01,0.006,0.01
0.01,-0.01,-0.013,-0.032,-0.006,0.0,0.0,0.003,0.01,-0.016,0.01,-0.01,-0.013,-0.032,-0.006,0.0,0.0,0.003,0.01,-0.016,0.035,-0.064,-0.022,0.003,0.022,0.016,0.019,-0.042,0.026,0.0,0.01,0.057,0.042,0.022,-0.01,-0.013,-0.019,-0.013,0.0,0.006,0.0,0.0,-0.003,-0.01,-0.01,0.0,-0.01,0.013,0.0,0.01
-0.003,-0.013,-0.054,-0.019,-0.01,-0.006,0.0,-0.006,0.006,-0.026,-0.003,-0.013,-0.054,-0.019,-0.01,-0.006,0.0,-0.006,0.006,-0.026,0.073,-0.083,0.0,0.013,0.045,0.003,-0.006,-0.054,0.035,-0.003,0.003,0.051,0.038,0.006,-0.032,-0.032,-0.029,-0.038,0.006,0.003,0.0,0.006,0.006,-0.003,-0.013,0.01,-0.016,-0.006,0.0,0.0
-0.013,-0.016,-0.035,-0.016,-0.006,-0.016,-0.006,-0.026,0.01,-0.026,-0.013,-0.016,-0.035,-0.016,-0.006,-0.016,-0.006,-0.026,0.01,-0.026,0.096,-0.013,0.013,0.048,0.064,-0.01,-0.038,-0.045,0.019,0.003,0.019,0.029,-0.01,-0.022,-0.042,-0.048,-0.042,-0.042,0.003,0.003,0.003,0.0,0.013,-0.006,0.0,0.013,0.003,-0.01,-0.006,0.0
-0.006,-0.013,0.093,-0.006,-0.016,-0.013,0.0,-0.006,0.0,-0.032,-0.006,-0.013,0.093,-0.006,-0.016,-0.013,0.0,-0.006,0.0,-0.032,0.073,-0.013,0.013,0.051,0.057,-0.032,-0.054,-0.035,-0.01,0.006,0.038,0.032,-0.013,-0.032,-0.051,-0.042,-0.038,-0.029,0.003,0.0,0.003,0.0,0.003,-0.016,0.01,0.016,-0.003,-0.013,-0.006,0.006
-0.016,0.0,-0.022,0.0,-0.022,-0.022,0.003,0.01,0.003,-0.003,-0.016,0.0,-0.022,0.0,-0.022,-0.022,0.003,0.01,0.003,-0.003,-0.045,-0.089,0.01,0.048,0.057,-0.048,-0.051,-0.019,-0.045,0.022,0.054,-0.003,-0.048,-0.048,-0.038,-0.029,-0.026,-0.026,0.0,-0.003,-0.003,0.0,0.019,-0.006,0.016,0.006,0.006,0.0,-0.003,0.006
